bus_id,route_id,route_name,stop_id,stop_name,hour,crowd
BUS35,n6,285 PTML-DBRC-KLRH,3sn,Chikka Maskal,2,Medium
BUS36,1vt,245-M KMT-D43G,2j9,CS-JP Nagara 15th Cross,10,High
BUS37,2pf,D42G-PESK,3j8,BGS PU College Thotagere,15,Low
BUS38,1ll,263 KMT-NLGH-GGNH,2mo,Heelalige,23,Medium
BUS39,25q,258-DN,2au,Basavenahalli,18,High
BUS40,2x2,280-L YPH-PTH,5fj,Meenakunte,3,Medium
BUS41,2w7,600CA ELC A-ANK,6a5,CS-Chikkabanavara,19,High
BUS42,4v,ELC-PESCE,po,Bidarahalli Cross,20,High
BUS43,5p,263 KBS-KMS,5tq,Sugaturu,5,Medium
BUS44,238,245-M KBS-D43G,65g,Kenchanapura Cross,22,Medium
BUS45,2gy,SET-02,56s,Honnenahalli,0,Medium
BUS46,1a0,SCS-6,b2,Cable Factory Ittagallapura,5,Medium
BUS47,137,K-3 BSN-MRBS,253,Depot-07 Subhashnagara,19,High
BUS48,l9,CHLS-4,rw,Sumuka Layout,14,Low
BUS49,1m0,286-F VSD-KNP,4ee,Bagluru Old police Station,7,Medium
BUS50,2mb,60-A MRNB-VTN,4ec,AGS Layout Arehalli,8,High
BUS51,22h,NICE-8,1dy,Chikkanahalli,18,High
BUS52,h2,RBI-KBS,57p,Binnamangala Towads Nelamangala),5,Medium
BUS53,8c,227-K,66w,NICE Road 1st Stone,11,Low
BUS54,129,263-A,5wn,Tharabanahalli Gate,16,Low
BUS55,2o4,231-K,3ld,Siddartha School Cross,5,Medium
BUS56,1b9,298,3ko,Deccan,15,Low
BUS57,22q,378-E D34-BSK,2vb,JP Nagara 15th Cross 1,1,Medium
BUS58,1l6,290-G SBS-RSL-BTP,56d,Belagumba,13,Low
BUS59,2t3,287-G,3g7,KTPO,14,Low
BUS60,1di,290-E STJHS-YHKOT,1rc,Muddinapalya,14,Low
BUS61,152,286 KMT-DSKN,1za,HSBC,1,Medium
BUS62,1gw,330-G KVDRDO-SBS,4g,Manchanabele Dam Cross,17,High
BUS63,1n,372,ps,Kengunte Circle,6,Medium
BUS64,1i7,271-K VSD,2p5,Bagalur Colony,5,Medium
BUS65,1t3,507-E,1be,Maharani College,23,Medium
BUS66,1d3,VLS-6,2eg,Mylasandra,12,Low
BUS67,20x,V-333E,5fh,Bhuvaneshwari Nagara,14,Low
BUS68,2e8,285-N,4rp,Thirumala Gate,10,High
BUS69,1p0,500-D JGS-CSB,qu,Mallasandra Bagalakunte,7,Medium
BUS70,1ui,242-P,1s1,Channenahalli,23,Medium
BUS71,2k2,349 D38-LMG-KBS,1dn,Nanda Gokula Nagara,22,Medium
BUS72,1kg,213-FA,7,CS-Dhoopanahalli,23,Medium
BUS73,ix,BTP-4,636,Mahadevapura,10,High
BUS74,1yo,412,5tz,ARMY Public School ASC Center,20,High
BUS75,1ak,283 PTH-SGT,141,Beguru,5,Medium
BUS76,2oj,500-DH HSRCPWD-ATB,dg,HMT Auditorium,19,High
BUS77,rz,291 SBS-MNP,5y5,Devasandra Chikkamaranahalli,14,Low
BUS78,1po,211-UB JLO-KHCV,2yo,MICO Layout Checkpost Gopalan mall,16,Low
BUS79,1jy,250-E,1v7,Halanayakanahalli,6,Medium
BUS80,163,13-B SGH-PNNR,1ap,GBJ Colony Gate Doddanekkundi,17,High
BUS81,2zl,KBS-1K KBS-D41G,ov,Thimmasandra Gate,1,Medium
BUS82,1vd,290-EJ NGWJN-GKVK-YHK,2cx,Rajiv Gandhi,14,Low
BUS83,18m,281,1iu,Hosahalli,13,Low
BUS84,2ts,250-B,3ju,St Vincent Palloti School,6,Medium
BUS85,31z,284-C CVB-JDLO,590,NICE Road 12th Stone,8,High
BUS86,21p,600-KB,2ev,Kembaliganahalli Gate,14,Low
BUS87,17j,349-C,2it,CS-Anchepalya,1,Medium
BUS88,2d2,501-NH,3h2,Shivanapura Cross Hosakote,18,High
BUS89,1hi,MF-11,216,Juttanapalya,5,Medium
BUS90,242,250-SB PSS-SVG,1xx,Bhagya Nagara,11,Low
BUS91,2l5,210-E KBS-KMTFLY-KBDA,19t,BHEL,15,Low
BUS92,2y7,SET-1,36i,Santhe Devanagondhi,9,High
BUS93,135,258-SA,6dt,Nagarenahalli,7,Medium
BUS94,1hb,346-D,2fw,Mazara Hosahalli,22,Medium
BUS95,1aj,348-C KMT-HSPK,3de,Mulakattamma Temple Mallohalli,19,High
BUS96,z0,410-AB JBS-PSS-ADH,5tq,Sugaturu,16,Low
BUS97,1dt,327-B DMLA-KMT,13e,Malleshwara 15th Cross(8th Main),6,Medium
BUS98,1oe,87,5ad,Coles Park,9,High
BUS99,ur,293-F,11w,Raghavendra Circle,23,Medium
BUS100,qz,289-V,n0,Devanahalli Bypass NH-7,17,High
BUS101,29n,PESCE-1N,1em,CS-ISRO Karthik Nagara,13,Low
BUS102,149,306-T,1n0,Kammasandra Palya,1,Medium
BUS103,86,324-A,2yx,Bannerughatta Circle,11,Low
BUS104,2x7,226-MB,54c,Bayyandahalli Colony,7,Medium
BUS105,1q7,OASIS-2A,3t4,Thimmegowdarapalya,17,High
BUS106,2oa,341-A,54u,Thyagadahalli,4,Medium
BUS107,2ci,347-N,1cw,Shamarajapura,16,Low
BUS108,uq,398-H,327,ASC Centre,7,Medium
BUS109,2j8,293 KMT-KLN,1ma,Double Road BEML Layout,5,Medium
BUS110,2g4,293-B SBS-KAH,4fy,Avalahalli Electronic City,23,Medium
BUS111,wl,502-A,4v7,Jeevanahalli Graveyard,0,Medium
BUS112,2bp,500-DP,3ud,Chikka Madhure,12,Low
BUS113,zb,SBS-PRTC,5wy,CPRI,8,High
BUS114,yg,323-DN,dd,Bayyappanahalli Metro Station,15,Low
BUS115,2mw,306-F KBS-BRH,36e,Shivanapura Colony Cross,13,Low
BUS116,1ns,297-K VNP-KBS,1a0,Chikkanayakanahalli,9,High
BUS117,16q,356-M KBS-ELCFLY-ANK,2yk,Mallasandra,14,Low
BUS118,l8,MF-23,3fe,Deepak Nursing Home,6,Medium
BUS119,2mp,CALLBUS-02,5fg,Chokkanahalli Gate,3,Medium
BUS120,184,BMSIT-1,26l,Depot-17 Chandra Layout,6,Medium
BUS121,2p0,D19-ELC,2gb,Gulakamale,8,High
BUS122,115,V-328H HSK-WTTMC,4jx,LR Bande,12,Low
BUS123,si,342-MA,3u8,Ramachandrapura Tent,14,Low
BUS124,1k1,VLS-4,xp,Kurubarahalli,13,Low
BUS125,2op,MF-24,93,Hejjala,3,Medium
BUS126,2v,252-A,3y3,Kesaraguppe,9,High
BUS127,d3,258-VG,15d,Borehalli,22,Medium
BUS128,pa,258-VA,4oq,Jinnagara,12,Low
BUS129,173,242-M,4aa,Gunjuru,20,High
BUS130,1qk,45-D PPLO-GTLO,3jl,Amogha Layout,4,Medium
BUS131,1l6,290-G SBS-RSL-BTP,20q,Kurubarahalli Cross,14,Low
BUS132,1u5,330,39u,Gubbi Cross,6,Medium
BUS133,2mm,298-Z,3un,Rajapura,4,Medium
BUS134,1kq,KBS-3F,62x,JK Basavanna Nagara,9,High
BUS135,gx,406 HBLB-NMG,4df,80 feet Road Kalyananagara,7,Medium
BUS136,i4,223-D KGRT-DBT,3tx,Shivananda Store,19,High
BUS137,2vm,MF-27,29o,Gottigere,9,High
BUS138,1l6,290-G SBS-RSL-BTP,4ij,Byrathi Cross,10,High
BUS139,2xx,345,4md,Gowdahalli,3,Medium
BUS140,2y0,362-C BGR-ELC,4l8,Subramanyapura Police Station,15,Low
BUS141,1c3,500-BC BEL-BTM,r1,Kacharakanahalli Cross,3,Medium
BUS142,20d,306-D,vy,Nallur Cross,10,High
BUS143,2pp,347-D,li,Haraluru Cross,5,Medium
BUS144,uz,HAL PV-3,mi,Basavanahalli,9,High
BUS145,zo,356-A,63v,Kalalughatta,20,High
BUS146,yf,MF-304VS,4ia,Chikka Gollarahatti,10,High
BUS147,g6,293-L,5se,Geddalapura,21,Medium
BUS148,1jz,45-F,58r,Ankegowdana Doddy,7,Medium
BUS149,147,231-E BDD-KMT,24u,Mahathma Vidhyalaya Muttanalluru,1,Medium
BUS150,1ys,284-E ALS-KBS,4q2,Krishnasagara,19,High
BUS151,nc,226-F,u1,Vijayapura Toll Gate,23,Medium
BUS152,1x5,250-CA,wr,Ramasandra Cross,1,Medium
BUS153,1km,V-328H,4m5,Chandapura KEB,7,Medium
BUS154,2fd,258-F,al,NICE Road 2nd Stone,17,High
BUS155,2mt,195,3lh,Yallammana doddi,8,High
BUS156,2ef,500-D GKVK-CSB,2ug,Jalahalli East,15,Low
BUS157,w6,325 D41G-HRHL,3q9,ELC NICE Road,21,Medium
BUS158,2mb,60-A MRNB-VTN,3bi,DRDO Quarters,13,Low
BUS159,2ja,258-YA,22j,Neeladri Nagara,15,Low
BUS160,2nq,323 D41G-HAL-KMT,470,Kithiganahalli,5,Medium
BUS161,9l,280,4fy,Avalahalli Electronic City,7,Medium
BUS162,1nz,366-Z ANK-CNP,at,Tavarekatte,16,Low
BUS163,2lz,D45G-VRP,2p2,Hennur Junction,14,Low
BUS164,4r,MF-4,3sj,Hosahalli Cross Devanagondi,6,Medium
BUS165,r6,316-Y,5z7,Gangenahalli,6,Medium
BUS166,2qy,258-SB BNH-MNTK,32f,NICE Road 15th Stone,23,Medium
BUS167,23x,505,2z4,MICO Gate Adugodi,0,Medium
BUS168,ge,VTTMC-MDP-NBC,2dk,Krishnayyana Doddy,5,Medium
BUS169,r7,13-C,1z6,Mount Carmel College,15,Low
BUS170,19u,KBS-3E FLY,22m,Thirupalya,12,Low
BUS171,2p6,411-A CSB-MVW-HALNPS,4oo,Dayananda Sagar College,8,High
BUS172,31y,D34G-JSD-JAPC,3c7,CS-Marathahalli Bridge,23,Medium
BUS173,28g,253-HC,2se,Depot-13 Kathriguppe,23,Medium
BUS174,pz,314-A,59f,Marenahalli,13,Low
BUS175,2p7,342-J,2w7,Beedi Karmikara Colony Gate,0,Medium
BUS176,62,BELGS-22,2ws,Maruthi Nagara,4,Medium
BUS177,158,25B-BSK-BTMS,ig,Bisanahalli,16,Low
BUS178,7e,210-KA KBS-PPLO,hs,Sarjapura Ring Road Junction,9,High
BUS179,2cw,306-M MDR-PURA,1,BP Indian School Nelamangala,0,Medium
BUS180,1p,45-K,4wu,ISRO Quarters Jalahalli,5,Medium
BUS181,31x,253-H,yh,Bettanahalli Site,18,High
BUS182,mc,330-G,67s,New MICO Gate,10,High
BUS183,2no,365-B,b2,Cable Factory Ittagallapura,12,Low
BUS184,zu,252 LGR-PSS,3n0,Vasantavihar Colony Billamaranahalli,23,Medium
BUS185,6q,345-C,5pw,Sheshadripuram College,12,Low
BUS186,287,276-F KBS-YSTF,1au,New Baldwin International School,7,Medium
BUS187,71,BELGS-3,151,Indlubele,0,Medium
BUS188,2t7,284-C JLOW-VSD-KBS,5eq,Thonachinakuppe,19,High
BUS189,aw,144-E SNBS-SPHS,67a,Devagere Cross,4,Medium
BUS190,8m,304-N,4s1,Ambedkar Nagara,12,Low
BUS191,1aa,500CH SJR-KRP,38o,Kamalanagara,14,Low
BUS192,2cu,BEMLA-4,2hf,Siddapura Cross,23,Medium
BUS193,2pl,258-J,6d2,Chokkahalli Factory Gate,22,Medium
BUS194,2u2,290-E KMT-YHKOT,3js,Kattalepalya,2,Medium
BUS195,hy,502-E,40i,Kasavanahalli,17,High
BUS196,21x,271-K MTK-VSD-KBS,5qr,MR Nursing College,7,Medium
BUS197,1f5,410K BSK-VDN,1oj,Robin Theatre,4,Medium
BUS198,zi,269,2k6,CS-Kempegowda Institute Nursing Hostel,18,High
BUS199,2zn,284-KA,24k,HSR Layout 2nd Sector,8,High
BUS200,fx,289-C,2wo,Kommasandra,4,Medium
BUS201,fw,DPJN-JJN,1pf,I Gate,4,Medium
BUS202,2bt,293-B,2r3,Ullala Satellite Town Cross,17,High
BUS203,134,12F-5,3la,Shobha Hills View Apartment,8,High
BUS204,ch,V-BENGALURU DARSHINI,1lr,Chowdanahalli,3,Medium
BUS205,157,90-E KBS-YTTMC,42f,Upkar Residency Layout,0,Medium
BUS206,2gk,ARMY-002,41m,Life Style (Sacred Heart School),7,Medium
BUS207,31o,312-A,2nr,Dhoopanahalli,7,Medium
BUS208,2qf,311-J D24G-MDH,2su,Narayanapura,14,Low
BUS209,30y,252-F IXP-KBS-PSS,5cr,Averahalli Cross,12,Low
BUS210,1l8,355 D38-BMSV,vc,Mulluru,18,High
BUS211,4b,MF-1F D06G-RMN,3zr,Prasanna Theatre,4,Medium
BUS212,2ad,240-M,24f,Bharathi Nagara,17,High
BUS213,2x,235-A SNBS-NBDA,1lf,Avalahalli,15,Low
BUS214,1v4,410-FD D43G-BSK,46y,CPRI Quarters,15,Low
BUS215,kt,401-N MBS-BEML5,12m,Ashwathnagara,16,Low
BUS216,ij,D17-CLO,46f,Janatha Colony Byalalu,12,Low
BUS217,2oy,D8-KSF,1y7,Medur Gate,13,Low
BUS218,1z8,140-E,5gu,Gottipura Gate,11,Low
BUS219,1mk,293 D48G-KBS,6b4,Mount Carmel,2,Medium
BUS220,2w1,87 KBS-DPJN,5tp,Sadenahalli,3,Medium
BUS221,t8,316-Y KRP-DVH,1uc,Koduru,8,High
BUS222,2og,KVASC-03,hc,Rayan Circle,14,Low
BUS223,2vf,SJBHS-9,4df,80 feet Road Kalyananagara,13,Low
BUS224,ee,344-A,3v5,CS-Kamalanagara,17,High
BUS225,135,258-SA,2cj,Hospital K Gollahalli,6,Medium
BUS226,12l,303-G KLN-OST,3gp,Chokkanahali Government School,7,Medium
BUS227,2d3,276-E KMT-MTK-VRP-D45,4nw,Kenchanakuppe Colony,22,Medium
BUS228,2tv,256-MA D43G-TRHH,41l,Bychapura,14,Low
BUS229,ov,79-G VSD-VSDLO,4ar,Devegowda Hospital,9,High
BUS230,w1,285-K PTMT-CVB-KBS,43n,Indian Air Force,18,High
BUS231,q4,266-N KMT-MLPH,5nq,Hale Ooru,1,Medium
BUS232,9o,D34G-COAAS,1cq,Kaggalahalli,20,High
BUS233,hi,356-M ANK-JGNAPC,1g8,Garments Factory Borugunte,9,High
BUS234,1lc,210-B KTNR-KMT-VSD,4k7,Book Factory Thanisandra,20,High
BUS235,2ne,304-R D24G-BGB,1pv,Razakpalya,7,Medium
BUS236,2tn,MRTG-IIHS,2u9,Muneshwara Temple,7,Medium
BUS237,oq,297-F,2jl,Vabasandra Gate,12,Low
BUS238,2jh,273 KBS-HMTA-PSBS,446,Budigere Cross,15,Low
BUS239,qe,96,6ay,1st Stage 3rd Block Nagarabhavi,23,Medium
BUS240,2u,HAL PV-10,2rk,Mathikere Post Office,2,Medium
BUS241,1mi,289-AA,4gy,Passport Office Koramangala,16,Low
BUS242,kg,323DN-KHG-D41,541,KG Lakkenahalli,9,High
BUS243,202,234-EC,5y3,Biscuits Factory,13,Low
BUS244,22k,APS-27,5hk,Puttenahalli,0,Medium
BUS245,35,500-BC,1lg,Bagmane Tech Park (Graphite India),5,Medium
BUS246,22w,501-BH BSK-BELF,110,Valepura,19,High
BUS247,2yu,201-Q,5fb,Guttepalya,20,High
BUS248,ud,306-K,10i,Sai Lakshmi Industries,8,High
BUS249,p,SJH-KRMTTMC,5ns,Devarabisanahalli Ring Road,18,High
BUS250,2vj,291-L,ih,Nelaguli,19,High
BUS251,kd,211-N,5hb,Muneshwara Layout,13,Low
BUS252,11n,228-J,459,Bommanahalli,22,Medium
BUS253,y6,335-G,492,Giriyamma Circle,20,High
BUS254,1m5,401-AC BMT45-LGR,5kv,Suvarna Karnataka Bus Stand,6,Medium
BUS255,k0,98-F YTTMC-GGP-VSL,388,Sapthagiri Convention Hall,16,Low
BUS256,2fp,308,6c2,Geddalapura,21,Medium
BUS257,2xu,308-B,3a8,Bhadrappa Layout,15,Low
BUS258,4e,BELGS-23,33b,Bukkasagara,6,Medium
BUS259,fn,245-MA,20o,CS-Vasanth Enclave,4,Medium
BUS260,1o,UBVS-01,2wn,Ravagodlu Gate,3,Medium
BUS261,2ni,13-H,516,Maruthi Badavane,17,High
BUS262,np,234-E KBS-KMT-UST,1fw,BPL,19,High
BUS263,2fx,298-MY DVH-YHKOT,1in,Koppa,4,Medium
BUS264,1iz,315 ARMY-KMT,2m4,Mallasandra,6,Medium
BUS265,kz,BEMLA-3,2jo,Chamarajapet,13,Low
BUS266,d3,258-VG,4u5,Hosakote Flower Market,10,High
BUS267,gr,MF-515,4iy,Bikkanahalli,10,High
BUS268,9z,366-C,3v3,HAL Main Gate,0,Medium
BUS269,24z,500-A ISROM-HBL-GGP-PSS,4lc,CWS-3 BMTC,22,Medium
BUS270,hi,356-M ANK-JGNAPC,3hc,Prabasnagara,8,High
BUS271,1qt,NICE-10,3t8,Channadasipalya,2,Medium
BUS272,yd,KLN-DAMC,yy,Singaianapalya Phoenix,9,High
BUS273,2fl,NDC-SNBS-KBS,4g6,NICE Road 17th Stone,7,Medium
BUS274,1bo,D15-KRM,3km,Kengunte Circle,10,High
BUS275,ei,410-K JJHC-CDSN,4b3,Hancharahalli,11,Low
BUS276,21g,BEML A-5,9z,Bande Mutt Badavane Radiant Enclave,2,Medium
BUS277,xj,WTTMC-KDLG-VRTKD,587,Vasantavihar Colony Billamaranahalli,19,High
BUS278,2u5,367,1mx,Devagere Colony,4,Medium
BUS279,132,271-B,5lc,Sonnappanahalli,6,Medium
BUS280,1ko,289-CB,3nk,Gangasandra,15,Low
BUS281,h9,347-F,2ad,Muthurayanapura,2,Medium
BUS282,1z1,306-M,1cr,Jakkur Layout Double Road,14,Low
BUS283,2o7,ITPL-4J,4ta,Patalamma Temple,11,Low
BUS284,2yt,271-PA,2e8,Vidyanagara Cross Chikkajala,4,Medium
BUS285,72,401-AK,697,Heggadagere Cross,18,High
BUS286,i8,D46-PTML,2fz,Halehalli,9,High
BUS287,2l7,143-A,2yg,Shine Bakery,14,Low
BUS288,vk,D20-DSIT,1v6,Koraluru Railway Gate,4,Medium
BUS289,2qa,225-G KMT FLY,116,Doddamaranahalli,22,Medium
BUS290,1l8,355 D38-BMSV,3cl,Deepa Complex,20,High
BUS291,kk,266 KBS-HGV,1iz,Jakkur Layout  Shanimahatma Temple,10,High
BUS292,1hf,ITPL-8E,1yo,Canara Bank Subramanyanagara,5,Medium
BUS293,h0,SVPS-2,567,Burumarana Doddy,20,High
BUS294,dz,BEL GS-36,g1,Jigani Bus Stand,20,High
BUS295,2cu,BEMLA-4,1z9,Vivekananda Vidyavardhaka School,3,Medium
BUS296,1f8,129,4cg,Narayanakere,6,Medium
BUS297,1db,221-J TVK-KMT-KBS,2ds,Hunasemaradapalya,18,High
BUS298,wp,234 KMT-MRBS-CLO,2dx,Byatarayana Doddy Cross,19,High
BUS299,1d0,280-L,4ff,Konanakunte Cross  Metro Station,23,Medium
BUS300,2yd,318 KBS-JTP,2fi,Hotel Emerald,10,High
BUS301,z,342-Y,44a,Aladamara Laggere,9,High
BUS302,ul,D45-ATR,rw,Sumuka Layout,4,Medium
BUS303,rw,329-J,gd,Kengeri Post Office,6,Medium
BUS304,2qi,271-T,69c,Bengaluru University Gate,6,Medium
BUS305,ax,365-J VSD-JACP,l1,Aduru,13,Low
BUS306,1le,242-N,5ph,Nallur Cross,23,Medium
BUS307,14h,228-H TPR-KMT-KBS,ar,Ittamadu Cross,4,Medium
BUS308,1r1,37,196,Hosur Road junction 1,11,Low
BUS309,8m,304-N,58y,Bilavaradahalli,2,Medium
BUS310,2xp,D43G-ASK,36z,Gundanjaneya Swamy Temple Ravagodlu,9,High
BUS311,2x,235-A SNBS-NBDA,41i,Kadubisanahalli,15,Low
BUS312,dq,405 PTH-HSG,1u5,Kuvempunagara,20,High
BUS313,1pg,317-P,3q7,Govt Soap Factory,3,Medium
BUS314,19f,323-AK KBS-D41G,6b1,Dabaspete,1,Medium
BUS315,10v,V-240M,5or,Gollarapalya,10,High
BUS316,20x,V-333E,5g2,JC Nagara Kurubarahalli,19,High
BUS317,2oq,BEMLB-9,10z,Lingenahalli,6,Medium
BUS318,2j0,MF-29,227,Telecom Layout,8,High
BUS319,1qu,500-D HBLB-KRM KM,1f1,Vaderahalli Cross,18,High
BUS320,1ha,V-365,60m,CS-IIHS Sadashivanagara,13,Low
BUS321,1ir,201 SGH-BSK-SNR,5re,Jalahalli Bakery,2,Medium
BUS322,y8,SVM-1A,1zb,Kamadhenu Kshetra,18,High
BUS323,29f,306-F,gx,Jangamakote Cross,15,Low
BUS324,4b,MF-1F D06G-RMN,1vw,Monotype Corporation,17,High
BUS325,222,89-B,1qd,Ashwathkatte Kodihalli,22,Medium
BUS326,16s,KIA-8,4y3,Basavanna Devasthana CK Palya,22,Medium
BUS327,30f,MF-8,7a,Rajapura,9,High
BUS328,2eo,302-E,60t,CS-Peenya 2nd Stage,19,High
BUS329,yn,266-C KKL-KBS,55j,Pattandur Agrahara Gate,5,Medium
BUS330,dv,V-328HK,6cq,Jakkur Layout Double Road,23,Medium
BUS331,vo,290-KN,1lw,Mutturu,18,High
BUS332,el,346-G,1r1,Rock Line Studio,23,Medium
BUS333,11,BMBS-JHC,43t,Ittamadu,13,Low
BUS334,l,250-F PSS-SSHL,3af,Manjunatha Kalyana Mantapa,14,Low
BUS335,9l,280,61l,Devanahalli Talluk Office,13,Low
BUS336,1jh,319 D24G-KDG,5df,Jai Bhuvaneshwari Nagara,14,Low
BUS337,2ym,HALPV-12,3qu,Marenahalli,12,Low
BUS338,72,401-AK,2at,Doddaballapura Tollgate,8,High
BUS339,279,349-A D38G-HND,1k7,Nagavarapalya,12,Low
BUS340,14z,KVM-3,5mh,Embassy School,12,Low
BUS341,17k,286-AA,3oz,Mysore Road TollGate,1,Medium
BUS342,30p,V-226KBS,2ms,Jalahalli West Shettyhalli Road,23,Medium
BUS343,119,515 KGR-UST,2ig,Srikanteshwara Park,3,Medium
BUS344,2mw,306-F KBS-BRH,1pa,Herohalli Sunkadakatte,11,Low
BUS345,25k,288 D45-TDL-KMT,5jm,Handenahalli,1,Medium
BUS346,pq,D44-TLSP,453,Estate Tavarekere,20,High
BUS347,20e,266-B,4zw,Ramaswamypalya,1,Medium
BUS348,1d8,MF-401,1hs,lnoorDoddy,18,High
BUS349,12k,213-E,mx,Honnasandra Cross,19,High
BUS350,2tp,266-C D45-KKL,275,Poojena Agahara Dinne,5,Medium
BUS351,2w3,285-ME,2wc,Platinum City Apartment SRS,13,Low
BUS352,kn,G-4 SBS-BNP,5ra,CS-Hosakote KEB Circle,7,Medium
BUS353,1o1,410-FA SNH-BSK,44l,Seegehalli Gate  Kadugodi,12,Low
BUS354,31m,KMT-BCGHS,66k,Vaddarapalya (Anugraha Meadows),22,Medium
BUS355,1sp,258-V KBS-GRH,6d9,Channadasipalya,15,Low
BUS356,x5,D42G-HSS,67t,Bellahalli Cross,5,Medium
BUS357,ed,500-F,4pp,Siluvepura,19,High
BUS358,ah,301-D,12a,Anjaneya Temple Nelamangala,20,High
BUS359,70,176-E,55c,Dwaraka Nagara,14,Low
BUS360,21h,43-D,5x3,K Gollahalli Gate,10,High
BUS361,qk,SCS-5,4ix,Sanjay Gandhi Hospital,7,Medium
BUS362,5,289-V D52-BLR-DVH,54c,Bayyandahalli Colony,0,Medium
BUS363,18p,BEMLA-29,4q6,Railway Gate Gollahalli,23,Medium
BUS364,25y,238-UC,5ri,Singasandra FLY,18,High
BUS365,2cw,306-M MDR-PURA,3yz,Vijaya Bank Layout Devarachikkanahalli,3,Medium
BUS366,9n,MF-32,4h,CS-NGV Koramangala,3,Medium
BUS367,16u,KRPGH-HSK,45f,Tharabanahalli,0,Medium
BUS368,2hg,263,21k,Kengeri Metro Station,21,Medium
BUS369,1f3,201 BSK-KVASC,5bs,KK School,17,High
BUS370,16f,MF-10,s7,Bapujinagara,14,Low
BUS371,31d,227-F,24q,Sanjay Gandhi Nagara,18,High
BUS372,ze,298-A,5cr,Averahalli Cross,23,Medium
BUS373,10o,225-B SBS-BEML5,1ll,Sondekoppa,10,High
BUS374,6p,121-BA,2z4,MICO Gate Adugodi,10,High
BUS375,2jd,D24G-SRPMS,4m9,Samanduru,8,High
BUS376,1ru,27,6cj,Widia Factory,21,Medium
BUS377,cr,304-X,1r1,Rock Line Studio,11,Low
BUS378,2v5,43-B,3fm,Mylasandra Cross,18,High
BUS379,fb,372-E,1x8,Venkatagiri Kote,0,Medium
BUS380,1xj,248 KMT-JHC-BELF,6bj,Are Bannimangala,20,High
BUS381,uu,MF-21,40v,Dodda Tumkur,23,Medium
BUS382,li,297-F YHKOT-BVP,1hg,SMVIT College,0,Medium
BUS383,191,245-DA KMT-BMTCTC,4bp,Banashankari 1st Stage Muneshwara Block KEB,2,Medium
BUS384,1yn,144-G GPTE-NRG,e9,Bellikere,21,Medium
BUS385,1o3,266-N,427,Gollahalli,16,Low
BUS386,1zz,347-K CSB-AECSLS,1rv,Bettahalli Colony,14,Low
BUS387,1vf,213-K,152,BGS School Banandur,23,Medium
BUS388,77,KRPGH-RMB-BMS-VSD-KBS,62j,Kempapura,3,Medium
BUS389,1c7,377-H,68v,Chowdeshwari Temple,16,Low
